,age,c_charge_degree,race,age_cat,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid
44,29,0,0,1,0,0,0.0,7,1,1
45,25,1,1,1,0,9,-1.0,10,1,1
46,35,0,0,1,0,13,-1.0,8,1,1
47,49,1,1,0,0,0,0.0,1,0,0
49,29,0,0,1,0,0,0.0,4,0,0
50,29,0,1,1,0,1,-24.0,2,1,1
51,28,0,0,1,1,0,-1.0,2,0,0
54,31,0,0,1,0,15,-1.0,5,1,0
55,24,0,0,2,0,2,-1.0,4,1,1
56,30,1,1,1,0,0,0.0,7,0,0
57,49,1,0,0,0,4,-1.0,1,0,0
58,53,0,1,0,0,8,-13.0,5,0,0
59,35,0,0,1,0,5,-1.0,3,0,0
61,27,0,0,1,0,15,-1.0,10,1,1
62,38,1,1,1,0,4,-1.0,2,1,1
63,22,0,0,2,0,1,-1.0,4,1,1
65,29,0,0,1,0,4,-1.0,9,1,1
66,62,1,1,0,0,0,0.0,1,0,0
67,27,0,0,1,0,6,0.0,6,1,1
68,33,1,0,1,0,0,-1.0,1,0,0
69,56,1,0,0,1,0,0.0,1,0,0
70,45,0,1,0,0,6,-1.0,1,1,1
71,22,0,1,2,0,1,-1.0,4,0,0
72,39,1,0,1,0,1,-1.0,4,0,0
73,29,0,0,1,0,5,0.0,6,1,1
74,27,0,1,1,0,1,-1.0,6,1,1
75,40,0,0,1,0,2,-15.0,2,0,0
76,22,1,0,2,0,1,0.0,3,1,1
77,22,0,1,2,0,0,-1.0,8,0,0
78,26,0,0,1,1,1,-1.0,4,1,1
80,32,0,0,1,0,0,-1.0,2,0,0
81,41,1,0,1,0,1,-1.0,2,0,0
82,30,1,0,1,0,8,-1.0,10,1,1
83,50,0,0,0,0,0,-1.0,1,1,1
84,25,0,0,1,0,14,-1.0,10,1,1
85,20,0,0,2,0,0,-1.0,5,1,1
86,22,0,0,2,0,2,0.0,9,1,1
88,35,1,0,1,1,1,-1.0,2,0,0
89,36,0,0,1,0,9,0.0,7,1,1
90,26,0,1,1,0,7,0.0,8,1,1
91,21,0,0,2,0,1,0.0,6,1,1
92,25,0,1,1,0,9,-1.0,8,1,1
94,20,0,1,2,1,0,-1.0,7,0,0
95,39,0,1,1,0,2,-2.0,1,1,1
97,54,1,1,0,1,0,0.0,1,0,0
98,44,1,1,1,1,0,-2.0,1,0,0
99,19,1,0,2,0,1,-10.0,4,1,1
101,30,0,0,1,0,1,-1.0,2,0,0
102,39,0,1,1,1,0,-1.0,1,1,1
103,24,0,1,2,0,8,-1.0,6,1,1
104,30,0,1,1,0,0,-1.0,4,0,0
105,31,1,1,1,0,0,-1.0,5,0,0
106,39,0,1,1,1,1,-1.0,4,0,0
108,43,0,1,1,0,1,-30.0,1,0,0
109,21,0,0,2,0,3,-1.0,9,1,1
110,38,1,1,1,0,5,-1.0,4,1,1
111,34,0,1,1,0,0,0.0,5,0,0
112,33,0,0,1,0,5,0.0,5,1,1
113,37,0,0,1,0,3,0.0,2,0,0
114,42,0,1,1,0,1,0.0,2,1,1
115,41,0,0,1,0,10,0.0,9,1,1
116,22,0,0,2,0,0,-1.0,4,1,1
117,33,0,0,1,0,28,-1.0,8,1,1
118,31,1,0,1,0,1,-1.0,7,0,0
119,30,0,0,1,1,1,-1.0,2,0,0
120,31,0,1,1,0,13,-1.0,10,1,1
121,27,0,0,1,0,3,-1.0,9,1,1
123,52,1,1,0,0,3,-2.0,9,0,0
124,33,0,0,1,0,19,-1.0,10,1,1
127,42,0,1,1,0,6,-4.0,3,0,0
128,25,0,1,1,1,2,-1.0,4,0,0
129,30,1,1,1,0,1,-20.0,2,0,0
131,37,1,0,1,1,2,-1.0,2,0,0
132,28,1,1,1,0,0,-1.0,2,1,1
133,24,1,0,2,1,0,-1.0,2,0,0
134,29,0,1,1,1,10,-1.0,4,1,1
135,44,1,1,1,0,2,0.0,2,1,1
137,32,0,0,1,0,3,-1.0,7,1,1
138,31,1,1,1,0,2,-16.0,3,1,1
139,31,1,0,1,0,1,-1.0,2,1,0
140,59,0,1,0,0,1,-1.0,2,1,1
142,20,0,0,2,1,1,0.0,10,0,0
143,43,1,1,1,1,0,0.0,1,0,0
144,38,0,0,1,0,9,-1.0,8,1,1
145,32,0,0,1,0,11,-2.0,6,1,1
146,33,1,0,1,0,8,-1.0,5,1,1
147,31,0,0,1,1,0,-1.0,3,1,1
148,33,0,0,1,1,7,-1.0,9,1,1
149,27,0,0,1,0,2,-1.0,9,1,1
150,20,0,0,2,1,0,0.0,6,0,0
151,26,1,1,1,1,0,-2.0,6,0,0
152,61,0,0,0,1,1,-1.0,1,1,1
153,52,0,0,0,0,13,-1.0,7,1,1
154,63,0,1,0,0,1,-26.0,1,0,0
155,32,0,0,1,1,4,-7.0,10,1,1
156,29,0,1,1,0,1,-1.0,4,0,0
158,26,1,0,1,1,2,-1.0,4,1,1
160,39,1,1,1,0,1,-1.0,4,0,0
161,30,0,1,1,1,3,0.0,7,1,1
162,30,0,0,1,0,1,0.0,7,0,0
163,48,1,1,0,0,2,-1.0,2,0,0
164,22,0,0,2,0,1,-1.0,2,0,0
165,46,0,1,0,0,6,22.0,1,1,1
167,31,0,1,1,0,0,0.0,5,0,0
168,25,1,0,1,0,1,-1.0,2,1,1
169,23,0,1,2,0,0,-1.0,3,0,0
170,32,0,0,1,1,5,-1.0,7,0,0
171,52,1,1,0,0,2,-1.0,1,0,0
172,62,0,0,0,0,8,0.0,4,0,0
175,31,0,1,1,0,8,29.0,9,1,1
176,28,1,0,1,0,6,-1.0,6,1,1
177,54,0,1,0,0,2,-1.0,1,0,0
178,58,0,1,0,0,0,-1.0,2,0,0
179,78,1,1,0,0,1,-1.0,1,1,1
180,56,0,1,0,0,0,-1.0,1,0,0
181,24,0,0,2,0,0,-1.0,2,0,0
183,22,0,0,2,0,1,0.0,5,1,1
184,47,1,0,0,0,23,-1.0,8,1,1
185,23,1,0,2,0,0,-1.0,2,1,1
186,57,0,1,0,0,1,0.0,1,0,0
188,66,0,0,0,0,3,-10.0,1,1,0
189,45,1,1,0,0,8,0.0,4,1,1
192,37,1,0,1,0,2,0.0,9,1,1
193,39,0,1,1,0,0,0.0,4,1,1
194,26,0,0,1,0,9,0.0,9,1,1
195,45,0,1,0,0,2,-1.0,3,0,0
196,23,0,0,2,0,0,-1.0,3,1,1
197,34,1,0,1,0,2,0.0,2,1,0
198,23,1,0,2,1,1,-1.0,4,0,0
199,36,1,0,1,0,2,-1.0,3,1,1
200,50,0,1,0,0,1,-4.0,1,0,0
201,37,1,1,1,1,0,-1.0,3,0,0
202,44,1,1,1,0,4,0.0,4,0,0
203,35,0,0,1,1,23,-1.0,9,1,1
204,24,0,0,2,0,5,-1.0,5,1,1
205,26,0,0,1,0,2,-1.0,10,1,1
206,27,1,0,1,0,0,-1.0,2,0,0
207,28,0,0,1,1,0,0.0,8,0,0
209,28,0,1,1,1,7,-1.0,9,1,1
210,38,0,0,1,0,2,-1.0,1,0,0
212,28,0,0,1,1,1,-1.0,9,0,0
213,56,0,1,0,0,7,-1.0,1,1,1
214,38,0,0,1,0,15,-1.0,9,0,0
215,28,1,0,1,0,2,-1.0,5,0,0
219,51,1,1,0,1,0,-1.0,1,1,1
220,51,1,1,0,0,0,-1.0,2,0,0
221,36,1,0,1,0,1,-1.0,1,1,1
222,48,0,0,0,0,0,-1.0,1,0,0
223,37,0,1,1,0,4,0.0,3,1,1
224,30,0,0,1,1,2,-1.0,7,0,0
225,41,1,0,1,1,5,0.0,6,0,0
226,27,0,0,1,0,11,-1.0,10,1,1
227,37,1,0,1,0,0,-1.0,1,1,0
228,33,0,0,1,0,4,0.0,4,1,1
229,54,0,0,0,0,11,-1.0,9,0,0
230,23,0,0,2,0,2,-1.0,9,0,0
232,41,1,0,1,0,0,0.0,1,0,0
233,52,0,1,0,0,0,-1.0,1,0,0
234,43,0,1,1,0,13,0.0,4,1,1
235,52,0,0,0,0,0,-1.0,4,0,0
236,28,0,1,1,0,1,-3.0,1,0,0
237,30,1,0,1,0,11,-1.0,9,1,1
238,28,0,1,1,0,1,0.0,5,0,0
239,22,0,0,2,0,0,-1.0,4,0,0
240,30,0,0,1,0,4,0.0,2,0,0
241,25,0,1,1,0,4,0.0,4,0,0
242,31,0,1,1,0,0,-1.0,8,1,1
243,37,0,1,1,0,0,-1.0,2,1,1
244,32,0,0,1,0,14,-1.0,9,0,0
246,53,1,1,0,0,1,-1.0,1,0,0
247,28,0,0,1,0,25,29.0,8,1,1
248,44,1,1,1,0,8,-1.0,5,1,1
249,25,0,0,1,0,0,0.0,3,0,0
250,22,1,1,2,0,1,0.0,8,1,1
251,37,1,0,1,1,0,-1.0,1,0,0
252,40,0,0,1,1,3,-1.0,2,0,0
258,31,1,1,1,1,0,-1.0,2,0,0
259,23,0,1,2,0,1,-1.0,6,1,1
260,23,0,1,2,1,5,-1.0,5,1,1
261,24,1,1,2,0,0,-3.0,8,0,0
262,29,1,0,1,0,1,-1.0,3,0,0
263,20,0,0,2,0,1,-1.0,8,1,1
264,30,0,0,1,0,2,-1.0,6,1,1
265,39,0,0,1,0,0,-1.0,1,0,0
266,27,0,0,1,0,4,-1.0,4,0,0
268,37,0,0,1,1,2,0.0,1,0,0
269,20,0,0,2,0,0,-1.0,8,0,0
270,22,0,1,2,0,0,0.0,7,0,0
271,52,0,0,0,1,0,-1.0,1,0,0
272,23,0,0,2,1,0,-1.0,4,1,1
273,48,0,0,0,1,0,-1.0,2,0,0
275,25,0,1,1,0,0,0.0,5,0,0
276,27,0,1,1,0,0,-1.0,6,1,1
277,30,0,0,1,0,11,0.0,7,1,1
278,22,1,0,2,0,3,-1.0,10,1,1
279,22,0,1,2,1,1,-1.0,3,0,0
282,41,1,0,1,1,2,-1.0,3,0,0
283,25,0,0,1,1,0,-1.0,2,0,0
285,52,0,0,0,0,3,0.0,6,1,1
286,43,0,0,1,0,0,-1.0,1,0,0
287,37,0,1,1,0,3,-4.0,1,0,0
289,70,1,1,0,0,1,-13.0,1,0,0
291,46,0,1,0,0,3,-1.0,4,0,0
292,21,1,0,2,0,0,-1.0,9,1,1
293,26,1,0,1,0,1,-1.0,8,1,1
294,38,0,1,1,0,3,23.0,1,1,1
295,34,1,1,1,0,5,-1.0,4,0,0
297,34,1,0,1,0,5,-1.0,4,0,0
298,23,0,1,2,0,0,0.0,5,1,1
299,34,0,0,1,0,5,-1.0,4,1,1
301,39,0,0,1,0,6,-1.0,3,1,1
302,24,0,0,2,0,0,-1.0,3,0,0
304,58,0,1,0,0,2,-1.0,3,0,0
305,21,1,0,2,1,0,0.0,6,0,0
307,23,1,0,2,0,4,-11.0,8,1,1
308,62,0,1,0,0,0,0.0,1,0,0
310,37,0,1,1,0,5,-1.0,3,0,0
311,43,0,0,1,0,2,-1.0,2,1,1
312,32,0,0,1,1,5,0.0,1,0,0
313,23,0,1,2,0,0,-1.0,3,0,0
314,27,1,0,1,0,0,0.0,1,0,0
315,44,1,1,1,0,0,-1.0,1,1,1
316,28,1,1,1,0,3,-1.0,3,1,1
317,42,0,1,1,1,0,-3.0,2,0,0
318,24,0,0,2,0,9,-1.0,10,1,1
319,27,0,0,1,0,0,0.0,2,0,0
320,20,0,0,2,0,0,-1.0,10,1,1
321,51,1,1,0,1,0,0.0,1,0,0
322,56,1,1,0,0,0,0.0,1,0,0
323,29,0,0,1,0,7,-1.0,9,0,0
324,20,0,0,2,0,0,-1.0,9,1,1
326,27,0,1,1,0,8,-1.0,5,0,0
327,24,0,0,2,0,2,-1.0,9,1,1
328,53,0,1,0,0,36,-7.0,6,1,1
329,28,1,1,1,0,2,0.0,3,1,1
331,21,0,1,2,0,3,-22.0,5,1,0
332,36,0,0,1,1,0,-1.0,7,0,0
333,25,1,1,1,1,2,-2.0,4,1,1
334,23,1,1,2,1,1,0.0,3,1,0
335,28,0,1,1,0,1,-4.0,5,0,0
336,21,0,0,2,1,0,-1.0,8,1,1
337,36,1,1,1,0,0,-1.0,3,0,0
338,24,0,0,2,0,0,-1.0,3,0,0
340,30,0,0,1,0,1,-1.0,2,1,1
341,29,0,0,1,0,0,-1.0,1,0,0
342,30,1,1,1,1,0,0.0,6,0,0
343,51,1,1,0,0,1,-1.0,1,0,0
346,32,0,0,1,0,12,-1.0,9,1,1
347,23,0,0,2,0,1,0.0,6,0,0
348,47,0,0,0,0,3,0.0,3,0,0
350,37,0,1,1,0,0,-1.0,1,0,0
351,19,0,0,2,0,2,-1.0,10,1,1
352,27,1,1,1,0,0,-1.0,8,0,0
353,39,1,0,1,0,0,-1.0,1,0,0
354,21,0,1,2,1,0,0.0,6,0,0
355,69,1,1,0,0,0,-1.0,1,0,0
356,21,0,1,2,0,2,-1.0,6,0,0
357,26,1,0,1,0,6,0.0,10,1,1
358,22,0,1,2,0,0,-2.0,4,0,0
359,23,0,0,2,1,0,-1.0,5,1,1
360,49,0,0,0,0,3,0.0,5,0,0
361,29,1,0,1,0,2,-1.0,4,1,0
362,60,1,1,0,1,0,-1.0,1,0,0
364,23,0,0,2,0,3,0.0,10,1,1
366,20,0,0,2,1,1,-21.0,4,0,0
367,36,0,1,1,0,1,0.0,3,0,0
368,30,0,1,1,0,0,0.0,4,0,0
369,21,0,0,2,0,1,-1.0,3,1,0
370,22,1,1,2,0,2,-1.0,6,1,1
372,21,0,0,2,0,4,-1.0,9,1,1
373,21,0,0,2,0,0,-1.0,5,1,1
374,34,1,1,1,0,1,0.0,1,0,0
375,50,1,1,0,1,1,-1.0,1,1,1
376,40,0,1,1,0,0,-1.0,7,1,1
377,25,0,0,1,0,7,-1.0,8,1,1
378,53,1,1,0,1,1,-1.0,1,0,0
379,24,0,0,2,1,0,-1.0,4,0,0
380,42,0,0,1,0,1,-12.0,1,0,0
381,28,1,0,1,0,1,-1.0,3,0,0
383,26,0,0,1,0,6,-1.0,8,1,1
384,22,0,0,2,0,4,-1.0,9,1,1
385,21,1,1,2,0,3,-8.0,7,0,0
386,37,0,0,1,0,23,-1.0,9,1,1
387,35,0,0,1,0,2,-1.0,5,0,0
388,53,0,0,0,0,2,-1.0,1,0,0
390,29,0,0,1,0,7,-1.0,4,1,0
391,48,0,1,0,0,23,-1.0,8,1,1
392,52,1,1,0,1,0,0.0,1,0,0
393,27,0,0,1,0,12,-1.0,8,1,1
394,28,0,0,1,0,5,0.0,9,1,0
395,33,1,1,1,0,3,0.0,3,0,0
396,28,0,1,1,1,0,-1.0,2,0,0
398,36,0,0,1,0,14,-1.0,7,1,1
399,29,0,0,1,0,2,-1.0,5,0,0
400,22,1,0,2,0,0,0.0,9,1,1
402,25,0,1,1,0,0,0.0,2,0,0
404,56,0,0,0,0,5,-1.0,3,0,0
405,27,0,0,1,0,9,-1.0,8,1,1
406,52,0,1,0,0,4,-1.0,1,1,1
407,32,0,0,1,0,3,0.0,2,0,0
408,60,0,0,0,0,4,-1.0,1,0,0
409,23,1,1,2,0,1,-5.0,3,0,0
410,39,1,1,1,1,0,-2.0,6,0,0
411,56,1,1,0,0,0,-1.0,1,0,0
412,22,0,0,2,1,0,0.0,7,0,0
414,53,0,0,0,0,11,-1.0,6,0,0
415,25,1,1,1,0,0,0.0,2,1,1
416,21,1,1,2,0,0,0.0,3,0,0
417,22,0,1,2,0,0,-1.0,3,0,0
418,58,1,1,0,1,2,-23.0,1,0,0
419,31,1,0,1,0,7,0.0,3,1,1
420,22,0,1,2,0,1,-1.0,5,1,1
421,28,0,0,1,0,8,-1.0,6,1,1
422,42,0,0,1,0,1,-1.0,1,0,0
423,20,0,0,2,0,0,0.0,7,1,1
424,29,1,1,1,0,0,0.0,6,1,1
426,58,1,0,0,0,21,-1.0,7,1,1
427,22,0,0,2,0,3,-1.0,7,0,0
428,48,1,1,0,0,1,0.0,1,1,1
429,37,0,1,1,0,0,0.0,4,0,0
430,57,0,0,0,0,1,-1.0,5,1,1
431,27,1,1,1,0,3,-22.0,1,0,0
432,26,0,0,1,0,3,0.0,4,0,0
433,24,0,1,2,0,3,0.0,8,1,1
434,33,0,1,1,0,0,-1.0,1,0,0
435,29,0,0,1,0,2,-1.0,6,0,0
436,24,0,0,2,1,3,-1.0,10,1,1
437,19,0,1,2,0,1,-1.0,10,1,1
438,36,1,1,1,0,2,-1.0,1,0,0
439,24,0,1,2,1,0,0.0,5,0,0
440,34,1,1,1,0,0,0.0,1,0,0
441,25,0,1,1,0,2,-1.0,5,1,1
442,20,0,0,2,0,1,-1.0,10,1,1
444,24,1,0,2,0,1,-1.0,2,1,1
445,61,0,1,0,0,4,-1.0,1,0,0
446,50,0,0,0,1,3,0.0,2,0,0
447,30,1,0,1,0,1,0.0,1,0,0
448,38,0,0,1,0,5,-1.0,3,0,0
449,24,1,1,2,0,0,-1.0,1,0,0
451,46,0,0,0,1,2,-1.0,10,1,1
452,41,1,1,1,0,0,-1.0,1,1,1
453,20,0,0,2,0,0,-1.0,8,1,1
454,27,1,0,1,0,13,-1.0,8,1,1
456,26,1,0,1,0,1,-1.0,6,1,1
457,29,0,0,1,0,3,0.0,5,1,1
458,52,0,1,0,0,6,-1.0,5,1,1
459,28,0,1,1,0,1,0.0,4,1,1
461,55,0,0,0,0,5,-1.0,3,1,1
462,26,0,0,1,0,10,-1.0,9,1,1
463,28,0,0,1,0,5,-1.0,10,0,0
464,63,0,1,0,0,2,-3.0,1,0,0
465,42,0,0,1,0,0,0.0,1,0,0
466,23,0,0,2,0,6,-1.0,6,1,0
467,54,0,0,0,0,28,-1.0,9,1,1
468,35,0,0,1,0,8,-1.0,7,1,1
469,24,0,0,2,1,6,-1.0,9,1,1
470,54,1,0,0,0,2,-26.0,1,0,0
471,58,1,0,0,0,12,-1.0,6,1,1
472,23,1,1,2,0,1,0.0,5,1,1
473,35,1,0,1,0,1,-1.0,2,0,0
474,20,0,0,2,0,1,0.0,10,1,1
475,51,0,1,0,0,0,0.0,1,0,0
476,24,0,1,2,0,0,0.0,10,0,0
477,37,0,1,1,0,3,-14.0,2,0,0
478,47,0,1,0,0,3,-1.0,1,0,0
479,34,0,1,1,0,4,-1.0,6,1,1
480,56,0,1,0,0,0,-2.0,1,0,0
481,34,0,1,1,0,4,-1.0,1,1,1
482,59,0,1,0,0,1,-2.0,1,1,1
483,35,0,0,1,0,0,-1.0,6,0,0
484,58,0,1,0,0,1,-11.0,1,0,0
485,29,1,1,1,0,2,-26.0,4,0,0
486,24,0,1,2,1,6,0.0,9,1,1
487,21,1,1,2,0,2,-1.0,9,1,1
489,50,0,0,0,0,5,0.0,7,1,1
490,26,0,0,1,0,1,-1.0,2,0,0
491,30,1,1,1,1,0,-1.0,2,0,0
493,29,1,1,1,0,0,0.0,4,1,1
494,54,1,0,0,0,0,-1.0,1,0,0
495,29,0,0,1,0,4,-1.0,4,1,1
496,59,1,1,0,1,0,-2.0,1,0,0
497,38,0,0,1,0,0,0.0,5,0,0
500,27,1,1,1,0,1,-1.0,3,1,1
501,26,0,1,1,0,7,-1.0,5,1,1
502,52,0,1,0,0,20,-1.0,3,0,0
503,66,0,0,0,0,33,0.0,6,1,1
504,27,0,1,1,0,2,0.0,5,0,0
505,51,1,1,0,0,1,-1.0,1,0,0
506,35,0,1,1,0,1,0.0,2,0,0
508,52,1,1,0,0,4,-1.0,3,0,0
510,48,0,0,0,0,12,0.0,5,0,0
511,26,1,0,1,1,0,-1.0,2,0,0
512,48,1,1,0,1,0,0.0,1,0,0
513,30,1,1,1,0,7,-1.0,4,0,0
514,28,1,0,1,0,2,-1.0,1,0,0
515,33,1,0,1,0,2,0.0,3,0,0
516,34,0,0,1,1,6,-1.0,4,0,0
517,25,1,0,1,0,0,0.0,1,0,0
518,59,0,0,0,0,10,-1.0,7,1,1
519,29,0,0,1,0,5,-1.0,5,1,1
520,24,0,1,2,0,0,0.0,2,0,0
521,48,0,1,0,0,1,-1.0,7,1,1
523,52,1,0,0,0,4,0.0,5,0,0
524,20,0,0,2,0,0,0.0,4,1,1
525,25,0,1,1,0,4,-5.0,4,1,1
526,24,0,1,2,0,0,-1.0,2,0,0
527,23,1,1,2,0,0,-1.0,9,0,0
528,27,0,1,1,0,6,-1.0,4,1,0
529,25,1,0,1,0,1,-1.0,3,1,1
530,31,0,0,1,0,0,-1.0,2,0,0
531,25,0,0,1,0,6,-1.0,4,1,1
532,32,0,1,1,0,1,-7.0,1,1,1
533,21,0,1,2,0,0,-1.0,3,1,1
534,37,0,0,1,0,1,-1.0,1,0,0
535,25,0,1,1,0,0,0.0,3,0,0
536,32,0,1,1,0,20,0.0,10,0,0
537,35,0,0,1,0,0,-1.0,7,0,0
538,42,0,0,1,0,14,-1.0,7,1,1
539,24,1,1,2,0,9,-23.0,10,1,1
541,21,0,1,2,0,0,-1.0,6,1,1
542,47,1,1,0,0,1,0.0,1,0,0
543,27,0,0,1,0,5,-1.0,9,1,1
544,43,1,1,1,0,2,-12.0,1,1,1
545,46,0,1,0,0,2,-1.0,6,1,1
546,44,1,0,1,0,1,0.0,3,0,0
548,23,0,1,2,0,2,-1.0,2,0,0
550,42,0,0,1,0,8,-1.0,5,0,0
551,58,0,0,0,0,6,-1.0,6,0,0
552,26,0,0,1,0,3,-1.0,6,1,0
553,48,0,0,0,1,0,-1.0,1,0,0
554,39,0,0,1,0,3,-1.0,3,1,1
555,21,0,0,2,0,3,0.0,5,1,1
556,63,1,1,0,0,1,-9.0,1,0,0
557,22,0,0,2,0,3,-11.0,7,1,1
558,50,1,0,0,0,3,-1.0,3,0,0
559,38,0,0,1,0,0,-1.0,1,0,0
560,41,0,1,1,0,1,-6.0,6,0,0
561,28,0,0,1,0,16,-1.0,8,1,1
562,30,1,0,1,1,0,0.0,3,0,0
563,23,0,0,2,0,1,0.0,5,0,0
564,25,0,1,1,0,2,-13.0,4,1,1
565,40,0,1,1,0,5,0.0,4,0,0
566,24,0,1,2,0,8,0.0,8,0,0
567,27,1,0,1,0,5,0.0,4,1,1
568,44,1,1,1,0,11,0.0,3,0,0
569,35,0,0,1,1,6,-1.0,2,1,1
570,42,1,1,1,0,0,0.0,1,0,0
571,38,0,0,1,0,15,0.0,7,1,0
572,26,0,1,1,0,4,0.0,6,0,0
573,25,1,0,1,1,0,-1.0,3,0,0
575,64,0,1,0,0,1,-8.0,1,0,0
576,49,1,1,0,1,2,0.0,1,1,1
577,50,0,1,0,0,5,-1.0,1,1,1
579,66,1,1,0,0,0,0.0,1,1,1
580,46,1,1,0,1,0,-1.0,1,0,0
581,30,0,0,1,0,5,-1.0,6,1,1
582,22,1,1,2,1,0,0.0,3,0,0
583,23,1,1,2,0,1,-1.0,4,0,0
584,30,1,0,1,0,0,-1.0,6,1,1
586,31,1,1,1,0,0,-1.0,1,0,0
587,31,0,0,1,0,1,-1.0,2,0,0
590,25,1,0,1,0,0,-1.0,3,1,0
591,21,0,1,2,1,0,-1.0,7,0,0
592,27,1,0,1,0,0,-1.0,2,0,0
593,20,1,1,2,0,0,-1.0,2,1,1
594,32,0,1,1,0,1,-27.0,1,0,0
595,24,0,1,2,1,0,0.0,5,0,0
596,20,0,0,2,0,1,-1.0,3,0,0
597,31,1,0,1,0,3,-20.0,8,1,1
598,27,1,0,1,0,3,-1.0,7,1,1
600,40,0,0,1,0,0,-1.0,2,0,0
601,22,0,0,2,0,11,0.0,10,1,1
602,38,0,0,1,1,1,-1.0,1,0,0
603,36,1,1,1,0,1,-8.0,10,1,1
604,30,1,0,1,0,1,0.0,7,0,0
605,27,0,1,1,0,6,-1.0,6,1,1
607,59,1,1,0,1,0,0.0,1,0,0
608,37,1,1,1,0,2,-2.0,1,0,0
609,28,1,0,1,0,5,0.0,7,1,1
610,38,0,1,1,0,0,0.0,1,0,0
611,22,0,0,2,0,0,-1.0,8,1,1
613,25,0,0,1,0,4,-1.0,5,1,1
614,51,1,1,0,0,0,0.0,1,0,0
616,29,1,1,1,0,2,29.0,2,1,1
617,28,0,0,1,0,10,0.0,3,0,0
619,55,1,0,0,0,9,0.0,3,1,1
620,23,0,1,2,1,3,-1.0,10,0,0
621,22,1,0,2,1,0,-1.0,5,0,0
622,19,0,1,2,1,2,-2.0,10,1,1
623,31,1,0,1,0,1,-27.0,1,0,0
624,29,1,0,1,0,0,0.0,1,0,0
625,61,0,0,0,0,15,-1.0,6,1,1
627,31,1,1,1,0,0,0.0,2,0,0
628,20,0,0,2,0,4,-1.0,9,1,1
629,26,0,1,1,0,3,-1.0,7,1,1
630,27,1,1,1,0,5,0.0,9,0,0
631,25,0,1,1,0,1,-1.0,5,0,0
632,23,0,1,2,0,3,-1.0,5,1,1
633,38,0,0,1,0,0,-1.0,1,0,0
634,27,0,0,1,0,18,0.0,9,1,1
635,35,0,1,1,1,0,0.0,3,1,1
636,22,0,0,2,0,0,-1.0,9,0,0
637,58,0,0,0,1,4,-14.0,2,1,1
638,57,1,1,0,1,0,-1.0,4,1,1
639,21,0,0,2,0,0,-1.0,3,0,0
640,22,0,0,2,1,0,-1.0,8,0,0
641,30,0,0,1,0,0,-1.0,2,0,0
645,30,0,0,1,0,8,-1.0,8,1,1
646,31,0,0,1,1,10,-1.0,6,0,0
647,45,0,1,0,1,1,0.0,6,0,0
649,39,0,1,1,0,2,-13.0,2,1,1
650,31,0,0,1,0,0,-1.0,8,1,1
651,22,0,0,2,0,1,-1.0,4,1,1
653,27,0,0,1,0,13,-1.0,7,1,1
654,38,0,1,1,0,1,-1.0,1,1,1
655,31,0,0,1,0,23,0.0,10,1,1
656,47,0,0,0,0,20,-1.0,9,0,0
657,22,0,0,2,0,3,-1.0,7,0,0
658,35,1,0,1,0,1,-1.0,9,1,1
659,23,1,1,2,0,2,-19.0,6,1,1
660,65,1,0,0,0,2,-18.0,2,1,1
661,35,1,0,1,0,0,-1.0,4,0,0
662,33,0,0,1,1,0,-1.0,3,0,0
